City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,hotan,37.0997,79.9269,11.68,34,62,3.64,CN,1731298823
133,hirado,33.3597,129.5531,19.68,71,50,9.29,JP,1731298824
134,castillos,-34.1667,-53.8333,13.82,97,25,2.48,UY,1731298825
135,rawson,-43.3002,-65.1023,11.16,76,94,9.26,AR,1731298827
136,muzaffarpur,26.1167,85.4,27.6,42,0,1.31,IN,1731298828
137,rock springs,41.5875,-109.2029,4.69,45,0,5.14,US,1731298829
138,bratsk,56.1325,101.6142,-2.73,60,100,5.03,RU,1731298830
139,praia,14.9215,-23.5087,25.3,65,20,5.14,CV,1731298831
140,persembe,41.0656,37.7714,12.68,82,62,1.83,TR,1731298832
141,tiksi,71.6872,128.8694,-17.82,99,95,0.88,RU,1731298538
142,hawaiian paradise park,19.5933,-154.9731,23.73,87,75,1.54,US,1731298590
143,ilulissat,69.2167,-51.1,-7.99,73,54,0.51,GL,1731298837
144,uzgen,40.7699,73.3007,8.41,51,100,1.03,KG,1731298838
145,susuman,62.7833,148.1667,-26.14,93,99,0.91,RU,1731298616
146,alofi,-19.0595,-169.9187,23.94,88,75,6.17,NU,1731298840
147,kralendijk,12.15,-68.2667,27.99,83,83,1.54,BQ,1731298842
148,callao,-12.0667,-77.15,20.4,77,0,5.14,PE,1731298638
149,kasungu,-13.0333,33.4833,21.52,74,7,2.28,MW,1731298844
150,mawu,34.4307,104.9176,4.95,78,100,3.39,CN,1731298845
151,nelson bay,-32.7167,152.15,21.72,79,100,2.68,AU,1731298846
152,sinop,41.7711,34.8709,7.16,86,100,0.8,TR,1731298847
153,coquimbo,-29.9533,-71.3436,13.85,88,0,1.54,CL,1731298849
154,ciudad bolivar,8.1222,-63.5497,29.24,65,96,4.66,VE,1731298850
155,cedeira,43.6797,-8.0209,14.35,100,66,3.92,ES,1731298851
156,coahuayana de hidalgo,18.7,-103.6583,25.06,88,54,1.05,MX,1731298852
157,iskateley,67.6803,53.1512,-12.04,93,79,1.75,RU,1731298444
158,opuwo,-18.0607,13.84,19.94,35,70,1.15,NA,1731298854
159,kapuskasing,49.4169,-82.4331,4.05,100,100,1.54,CA,1731298681
160,nuku'alofa,-21.1333,-175.2,23.19,94,100,3.6,TO,1731298857
161,balad,34.0164,44.1453,20.39,60,100,3.27,IQ,1731298844
162,haiku-pauwela,20.9219,-156.3051,24.47,68,20,9.77,US,1731298861
163,trat,12.5,102.5,30.77,59,24,1.66,TH,1731298862
164,mejit,10.2753,170.8646,28.08,78,23,7.72,MH,1731298863
165,sainte-marie,-20.8968,55.5496,27.81,75,20,7.72,RE,1731298865
166,weno,7.4515,151.8468,31.97,74,20,3.09,FM,1731298866
167,bordj bou arreridj,36.0732,4.7611,10.95,92,100,3.06,DZ,1731298867
168,hithadhoo,-0.6,73.0833,28.38,70,100,5.27,MV,1731298868
169,zhangjiakou,40.81,114.8794,9.5,71,96,1.15,CN,1731298869
170,greenland,43.0362,-70.8328,9.36,84,100,2.57,US,1731298870
171,stanley,54.868,-1.6985,5.29,90,52,2.06,GB,1731298872
172,tazacorte,28.629,-17.9293,25.08,32,0,4.47,ES,1731298873
173,usinsk,65.9939,57.5281,-12.67,92,74,5.21,RU,1731298755
174,marka,1.7159,44.7717,26.95,79,98,4.4,SO,1731298875
175,newman,37.3138,-121.0208,12.25,34,5,2.34,US,1731298876
176,vilyuysk,63.7553,121.6247,-10.69,93,100,2.54,RU,1731298878
177,ust-tsilma,65.441,52.1498,-7.21,98,92,1.49,RU,1731298879
178,aasiaat,68.7098,-52.8699,-8.95,99,100,4.02,GL,1731298880
179,preobrazheniye,42.9019,133.9064,8.5,36,0,0.81,RU,1731298881
180,val-d'or,48.1002,-77.7828,2.05,100,100,2.57,CA,1731298883
181,blenheim,-41.516,173.9528,15.29,65,47,2.24,NZ,1731298884
182,zheleznogorsk-ilimskiy,56.5768,104.1217,-4.46,69,100,3.96,RU,1731298885
183,faya-largeau,17.9257,19.1043,19.54,32,20,8.51,TD,1731298866
184,page,36.9147,-111.4558,9.27,46,0,0.45,US,1731298814
185,vallenar,-28.5708,-70.7581,20.33,50,30,0.37,CL,1731298889
186,dudinka,69.4058,86.1778,-25.08,97,66,3.82,RU,1731298890
187,lerwick,60.1545,-1.1494,9.6,84,25,9.1,GB,1731298663
188,revda,56.801,59.9303,-7.34,93,100,4.3,RU,1731298892
189,walvis bay,-22.9575,14.5053,12.51,90,10,0.64,NA,1731298850
190,bubaque,11.2833,-15.8333,29.06,57,0,2.76,GW,1731298895
191,nizhniy kuranakh,58.8353,125.4869,-9.39,88,98,1.64,RU,1731298896
192,tazovsky,67.4667,78.7,-17.02,93,100,7.07,RU,1731298897
193,cananeia,-25.0147,-47.9267,18.45,86,0,1.82,BR,1731298898
194,codrington,-38.2667,141.9667,15.22,73,64,7.71,AU,1731298899
195,mikhaylovsk,45.1283,42.0256,2.12,100,100,4.0,RU,1731298900
196,sortavala,61.7053,30.6918,0.21,72,100,1.71,RU,1731298902
197,ishigaki,24.3448,124.1572,29.07,74,40,5.14,JP,1731298903
198,namibe,-15.1961,12.1522,19.97,73,59,1.58,AO,1731298830
199,tralee,52.2704,-9.7026,6.93,89,24,1.65,IE,1731298905
200,port elizabeth,-33.918,25.5701,16.29,91,75,3.09,ZA,1731298906
201,sisimiut,66.9395,-53.6735,-6.23,79,100,3.63,GL,1731298908
202,mahibadhoo,3.7833,72.9667,27.89,72,15,1.31,MV,1731298909
203,sikasso,10.9167,-7.0,22.19,45,99,1.26,ML,1731298910
204,lebu,-37.6167,-73.65,10.74,87,38,1.57,CL,1731298911
205,noumea,-22.2763,166.4572,25.49,71,4,10.6,NC,1731298912
206,howard springs,-12.497,131.047,32.95,67,81,4.03,AU,1731298914
207,chonchi,-42.6128,-73.8092,5.07,98,20,1.25,CL,1731298908
208,ouesso,1.6136,16.0517,19.82,95,97,0.53,CG,1731298916
209,miusyns'k,48.0775,38.9036,4.78,89,99,3.62,UA,1731298917
210,jamestown,42.097,-79.2353,13.9,92,100,5.14,US,1731298749
211,northam,51.0333,-4.2167,13.12,97,100,4.41,GB,1731298921
212,geraldton,-28.7667,114.6,25.23,50,0,7.72,AU,1731298922
213,paradip garh,20.3167,86.6167,25.92,70,92,5.51,IN,1731298923
214,sant'antioco,39.0664,8.4522,15.61,82,69,2.08,IT,1731298924
215,hiratacho,35.4333,132.8167,19.98,64,20,2.57,JP,1731298925
216,zarand,30.8127,56.564,14.22,40,100,0.83,IR,1731298926
217,riyadh,24.6877,46.7219,21.33,39,6,0.51,SA,1731298692
218,guerrero negro,27.9769,-114.0611,17.74,61,100,4.07,MX,1731298929
219,kiunga,-6.1219,141.2906,28.35,86,90,1.6,PG,1731298930
220,peace river,56.2501,-117.286,-1.83,74,75,1.54,CA,1731298931
221,badger,64.8,-147.5333,-17.07,85,0,1.54,US,1731298932
222,whitehorse,60.7161,-135.0538,-2.72,92,100,3.58,CA,1731298349
223,saudarkrokur,65.7461,-19.6394,4.62,78,85,8.56,IS,1731298936
224,corner brook,48.9667,-57.9484,2.81,82,94,3.73,CA,1731298937
225,gantang,26.92,119.6333,24.62,66,39,1.34,CN,1731298938
226,fortuna,40.5982,-124.1573,16.66,73,100,8.75,US,1731298941
227,tolanaro,-25.0319,46.9987,27.04,74,0,6.17,MG,1731298943
228,afaahiti,-17.75,-149.2833,24.35,87,91,7.9,PF,1731298944
229,palu,-0.8917,119.8707,31.42,72,88,1.75,ID,1731298945
230,papao,-17.75,-149.55,26.82,90,75,9.18,PF,1731298947
231,jinja,0.439,33.2032,17.87,89,91,1.34,UG,1731298949
232,port lincoln,-34.7333,135.8667,19.74,69,100,6.08,AU,1731298950
233,kingscliff,-28.2667,153.5667,25.53,83,100,2.57,AU,1731298951
234,balaipungut,1.05,101.2833,31.1,65,98,0.45,ID,1731298953
235,zhanaozen,43.3,52.8,7.6,75,12,2.05,KZ,1731298954
236,hammerfest,70.6634,23.6821,7.25,87,100,5.14,NO,1731298955
237,caleta de carquin,-11.0925,-77.6267,18.75,85,88,3.62,PE,1731298957
238,hilo,19.7297,-155.09,23.85,88,75,1.54,US,1731298959
239,tofol,5.3248,163.0078,28.42,75,99,4.92,FM,1731298960
240,gogrial,8.5332,28.1004,23.5,80,69,1.39,SS,1731298961
241,gadzhiyevo,69.2551,33.3362,3.34,75,100,7.86,RU,1731298963
242,houghton,47.1219,-88.569,8.09,98,100,3.13,US,1731298818
243,butte,39.6499,-121.5677,13.99,45,0,3.09,US,1731298966
244,dalandzadgad,43.5708,104.425,5.61,24,0,2.56,MN,1731298967
245,wejherowo,54.6057,18.2356,1.02,92,14,1.79,PL,1731298968
246,arkhangel'sk,64.5401,40.5433,2.06,100,100,5.0,RU,1731298969
247,kerikeri,-35.2268,173.9474,14.67,98,100,0.66,NZ,1731298970
248,tanabe,33.7333,135.3667,23.56,60,20,5.66,JP,1731298972
